temperature,humidity,rainfall,soil_moisture,solar_rad,crop_stage,water_mm_per_week
36.11,87.28,44.5,20.77,19.78,1,19.05
30.76,82.5,62.36,38.93,21.62,1,10.0
36.59,73.45,1.3,24.72,14.76,1,25.03
21.59,63.11,65.47,23.88,13.72,1,10.0
23.53,60.59,3.21,24.61,11.99,1,15.85
20.81,72.55,71.19,38.87,16.17,1,10.0
25.86,67.27,79.36,38.28,17.38,1,10.0
27.0,43.11,23.53,21.14,18.74,0,15.59
24.88,65.63,16.83,18.33,12.37,0,10.0
34.92,80.32,61.23,24.68,24.13,1,11.68
26.42,62.96,20.24,27.91,10.89,0,10.0
25.06,42.6,69.24,14.53,24.42,0,12.24
29.77,79.31,8.23,36.76,8.25,1,11.3
22.54,50.07,10.08,24.46,16.18,1,11.81
34.44,52.93,78.33,18.36,13.67,1,10.0
21.34,48.24,53.91,9.27,15.64,1,10.0
37.76,56.51,67.75,14.55,17.7,2,23.12
33.9,77.84,25.95,42.97,15.41,2,14.65
23.58,65.97,54.12,17.2,15.05,2,16.21
20.1,50.24,47.54,11.75,20.46,1,10.0
34.68,83.89,48.25,23.43,19.66,1,10.0
32.72,83.98,54.6,17.28,22.17,2,11.52
33.12,83.53,46.03,6.41,12.25,0,10.0
33.88,51.94,34.32,17.93,18.36,0,12.43
21.33,62.56,22.07,26.76,17.95,1,10.0
26.45,89.25,61.49,27.07,14.29,0,10.0
22.09,78.6,18.1,19.26,16.26,2,21.8
35.54,41.36,55.39,22.89,13.33,1,10.0
31.22,43.26,18.67,43.62,10.41,1,10.0
25.96,63.2,50.03,20.09,11.63,1,10.0
21.14,85.46,59.77,15.33,9.79,1,10.0
25.6,66.94,17.5,14.74,19.61,0,11.09
25.85,64.89,4.8,23.31,19.23,1,24.3
33.13,45.27,10.48,35.38,24.16,1,14.24
31.48,72.84,48.48,13.24,20.4,1,12.54
35.97,81.11,67.96,33.37,8.88,1,10.0
28.5,59.02,3.6,5.85,23.03,0,23.81
22.15,78.78,58.73,21.76,22.67,0,10.0
32.84,88.22,27.31,36.03,15.54,0,10.0
33.69,50.19,38.28,18.55,17.96,1,21.07
30.1,66.17,74.31,27.55,24.59,2,10.0
33.88,54.36,26.56,13.2,17.05,2,26.55
28.89,79.64,37.23,34.68,23.39,1,13.81
29.41,68.88,1.09,7.09,9.41,1,17.03
27.7,71.73,6.53,39.1,11.25,1,10.0
20.46,79.9,20.69,12.93,15.49,0,11.25
21.94,59.8,2.23,39.98,17.94,0,10.0
20.57,85.75,50.51,19.1,21.88,2,13.35
31.46,66.65,34.11,33.91,24.8,1,12.74
25.66,47.9,43.85,17.77,14.61,2,10.0
29.15,74.79,13.97,41.24,8.81,1,12.04
36.34,79.66,23.67,10.07,21.62,1,18.96
24.49,55.84,53.11,12.14,18.27,0,10.0
27.39,82.86,77.22,24.72,11.38,0,10.0
33.6,85.31,4.03,8.28,16.41,1,25.34
24.12,53.85,71.23,12.84,20.62,1,10.0
21.39,89.18,46.15,42.75,21.1,0,10.0
25.22,47.04,45.11,44.06,16.49,0,10.0
22.9,50.1,40.02,20.05,13.19,0,10.0
36.73,49.21,5.55,41.93,24.55,1,24.1
34.55,84.7,7.19,26.79,19.28,1,22.15
31.4,72.71,48.07,15.79,14.94,0,10.0
35.69,47.61,27.28,33.1,12.77,0,10.0
34.47,62.02,73.38,31.36,20.43,0,10.0
23.36,70.76,32.53,44.57,12.12,1,10.0
36.07,44.17,11.46,15.6,10.92,0,12.86
29.71,84.12,57.18,31.88,17.01,1,10.0
34.53,80.18,23.47,7.08,12.93,0,12.92
36.13,65.26,42.04,9.55,18.69,0,10.0
25.72,88.36,55.83,5.16,10.0,2,10.0
21.98,60.89,72.02,44.98,19.13,1,10.0
24.1,89.21,63.38,37.09,12.82,0,10.0
27.69,73.4,54.11,36.47,8.0,2,10.0
34.72,71.73,54.37,25.39,10.16,1,10.0
35.49,48.3,75.67,17.0,23.87,2,12.84
20.13,84.1,23.67,11.05,22.75,1,25.84
29.19,61.37,0.09,16.39,11.97,1,11.81
27.51,48.11,21.76,20.04,21.23,2,14.59
24.0,40.63,17.43,35.25,18.35,0,10.0
22.16,67.99,52.95,26.59,24.51,1,11.83
26.08,66.37,50.7,8.1,14.35,1,10.0
36.97,75.97,47.48,5.72,19.58,0,16.83
25.82,84.51,1.3,9.09,9.08,0,17.31
29.34,43.97,58.3,21.42,14.74,0,10.0
32.65,76.57,25.88,42.33,24.38,1,17.23
26.55,49.37,53.2,30.5,17.16,1,10.0
37.49,82.91,44.53,37.07,12.89,1,10.0
37.32,80.95,27.42,23.65,10.04,0,12.9
24.53,67.04,10.77,19.47,19.96,1,24.58
28.95,75.51,7.55,9.34,18.96,2,29.94
25.42,55.72,66.52,40.04,14.36,1,10.0
25.13,63.56,73.47,36.33,24.17,1,10.0
20.66,81.08,51.98,11.72,8.38,1,10.0
30.97,62.96,8.27,25.49,13.16,1,17.55
29.05,57.89,32.16,24.49,23.66,1,14.37
20.93,64.71,58.32,30.0,13.46,2,10.0
25.02,81.41,62.39,42.85,12.29,1,10.0
36.35,56.76,9.46,28.19,17.08,2,24.76
24.31,48.69,0.0,26.61,22.0,0,14.9
22.61,75.6,56.97,7.01,9.75,0,10.0
28.81,81.3,28.53,7.52,24.03,0,27.05
37.74,45.03,20.36,12.49,21.52,1,12.97
24.36,51.99,1.03,6.3,11.08,1,21.5
32.1,47.1,43.22,34.73,20.1,0,10.0
33.71,57.4,68.09,33.93,14.54,0,10.0
24.28,62.52,76.61,10.44,14.84,2,10.0
33.11,77.44,45.26,38.44,21.32,2,14.37
26.62,72.56,41.16,11.19,24.37,1,15.47
31.38,71.05,6.8,17.05,10.15,1,10.0
31.4,57.62,43.91,14.96,15.15,1,10.0
29.64,82.07,30.4,19.89,16.18,1,14.25
21.63,63.56,48.57,15.19,14.4,2,11.12
35.04,88.96,31.1,24.56,14.17,0,10.0
25.77,71.71,19.22,21.3,8.89,1,11.85
23.36,46.31,7.6,44.46,19.65,1,10.0
20.73,73.81,25.19,7.24,15.42,1,15.39
30.64,56.26,7.73,10.69,11.31,1,16.47
32.2,74.32,14.15,7.11,21.87,1,29.35
20.3,43.48,78.99,30.03,21.64,0,10.0
29.22,48.74,35.53,7.18,16.27,1,10.0
24.08,82.79,42.55,38.46,13.07,0,10.0
31.61,51.36,69.89,25.48,18.85,0,10.0
23.14,81.85,79.65,26.08,12.9,0,10.0
32.44,53.96,46.62,27.46,12.01,1,10.0
26.96,72.14,65.0,11.83,20.42,1,17.53
36.86,74.71,26.16,12.91,8.69,1,23.58
22.48,65.63,24.46,17.75,9.61,1,10.0
26.14,55.27,32.22,28.74,8.12,1,10.0
22.04,50.63,53.8,13.4,10.6,1,10.0
36.64,41.66,54.58,9.65,9.17,1,10.0
35.79,55.2,25.22,43.8,24.93,1,10.0
24.64,72.66,10.66,5.88,12.91,1,17.96
31.88,86.92,50.59,37.11,10.54,1,10.0
34.71,83.56,10.27,36.52,12.1,2,11.36
29.99,78.3,46.28,16.89,23.91,2,19.02
29.53,79.42,55.47,10.43,16.84,0,10.0
24.35,73.25,56.05,10.83,14.2,0,10.0
21.68,53.01,60.28,32.9,22.85,1,10.0
36.15,85.36,69.83,30.71,14.71,1,10.0
36.21,73.54,40.0,36.31,13.7,0,10.0
31.4,68.02,58.42,42.5,11.52,2,10.0
26.1,45.55,49.53,32.68,14.42,0,10.0
26.29,62.35,14.93,11.23,13.38,2,19.31
33.07,63.02,2.06,14.74,19.51,1,29.01
36.15,83.23,22.76,38.69,12.92,1,10.0
35.97,67.33,35.44,13.37,17.81,0,19.18
34.04,59.02,49.37,7.9,9.12,0,10.0
31.56,88.84,68.0,33.13,11.25,1,10.0
21.51,45.54,15.7,21.1,14.93,0,15.32
22.91,61.13,10.04,41.8,23.93,1,14.86
36.17,42.1,77.08,31.01,14.41,1,10.0
30.92,77.0,8.64,8.62,19.29,0,25.37
20.17,85.9,38.28,42.91,12.34,0,10.0
21.83,54.0,46.85,15.34,10.16,1,10.0
31.94,82.92,43.31,18.49,9.0,0,10.0
20.09,54.61,6.88,21.09,13.19,0,10.0
22.89,85.54,4.56,7.05,10.68,1,18.28
29.88,77.7,8.44,24.86,10.96,2,13.96
32.45,80.25,46.85,9.93,20.93,1,17.96
31.74,40.9,43.55,21.04,8.27,0,10.0
24.04,88.14,18.7,19.03,17.48,1,20.67
32.82,76.33,51.02,35.91,14.45,2,10.0
24.27,55.24,65.61,37.13,16.61,1,10.0
25.86,81.47,3.33,11.14,17.57,1,18.46
33.44,54.08,39.85,19.66,13.33,1,10.32
31.69,83.64,55.14,19.93,13.02,1,10.0
35.29,45.63,20.18,11.06,20.47,0,22.69
31.84,75.18,24.62,36.94,22.81,1,10.0
30.23,67.03,49.09,33.29,11.27,1,10.0
21.69,44.83,71.83,12.62,9.66,2,10.0
26.62,52.09,64.79,19.67,23.26,0,10.0
24.77,40.62,46.65,9.23,13.95,0,10.0
24.39,63.44,58.42,30.13,17.37,1,10.0
37.51,55.06,29.19,9.85,14.11,1,20.31
27.08,69.92,51.28,44.44,10.14,1,10.0
36.06,54.86,37.29,36.23,18.02,0,10.0
31.36,55.0,15.19,20.61,16.93,0,10.0
34.31,77.16,56.14,28.14,11.45,1,10.0
29.05,42.41,44.52,41.45,15.68,1,10.0
30.38,85.14,28.69,27.16,21.55,2,15.41
28.87,82.61,72.91,11.98,18.04,1,10.0
23.51,73.39,1.67,20.15,9.65,1,10.0
33.0,69.66,25.26,38.73,17.32,1,10.0
25.05,84.62,4.55,30.77,19.95,1,16.41
20.44,49.27,61.32,31.03,21.48,1,10.0
31.62,43.95,56.17,39.67,18.69,2,10.0
23.19,51.98,26.51,40.76,10.6,0,10.0
36.93,79.73,54.05,41.79,20.07,1,16.14
37.17,41.73,31.67,8.79,19.51,0,17.2
36.47,69.14,60.5,26.77,8.42,1,10.0
26.66,89.77,36.33,34.62,15.0,1,10.0
20.28,82.78,32.98,35.28,13.66,0,10.0
36.71,66.07,74.78,29.27,19.38,2,10.0
27.71,43.18,20.07,11.67,11.67,0,16.55
37.4,81.57,9.64,36.9,18.04,1,10.0
37.35,69.95,46.76,33.8,23.52,2,16.0
35.35,45.75,77.55,8.45,21.56,0,10.0
25.3,44.69,30.23,23.55,23.66,1,17.95
26.93,85.48,4.96,11.96,24.63,0,24.36
35.32,73.46,27.14,18.5,8.18,0,10.0
25.7,81.46,40.47,5.72,18.59,1,10.86
23.05,83.95,12.95,21.01,15.02,2,23.63
30.02,68.59,52.65,27.0,22.62,0,10.0
36.85,65.87,79.82,29.78,12.28,1,10.0
32.53,61.52,36.14,31.54,24.68,1,10.0
30.26,55.85,28.38,38.45,18.43,2,10.0
21.75,61.73,32.06,13.62,21.49,0,14.23
31.07,78.69,9.21,9.82,9.46,1,11.12
37.82,70.1,70.66,39.06,11.12,1,10.0
22.52,84.63,33.19,11.26,20.89,1,17.49
29.33,62.17,30.98,43.99,8.37,2,10.0
35.79,70.35,52.78,38.7,21.89,2,12.26
33.33,71.57,35.36,25.04,8.24,0,10.0
32.55,69.58,51.86,44.26,19.17,1,10.0
32.64,75.13,4.92,8.9,14.21,1,21.05
26.47,51.87,65.1,17.12,18.4,1,10.0
25.28,65.62,75.24,30.53,19.83,1,10.0
34.57,45.21,51.9,19.0,13.82,1,10.0
34.58,59.23,76.37,42.13,9.84,1,10.0
35.61,64.38,12.11,7.63,9.18,2,19.35
36.44,72.61,38.19,26.98,18.01,0,10.0
29.2,87.53,48.14,28.63,16.85,2,10.0
29.03,70.03,46.54,31.11,20.62,1,10.0
34.37,77.18,32.12,15.23,16.67,1,14.12
31.7,65.31,27.05,19.58,15.18,2,19.34
32.64,71.71,10.15,38.75,14.77,1,10.0
34.32,43.55,31.34,12.8,8.45,1,16.31
36.02,52.72,13.01,38.07,13.7,1,17.67
26.08,58.09,58.75,27.51,24.59,1,10.0
26.76,63.62,16.71,35.49,22.85,2,25.52
21.69,42.28,4.69,33.54,13.6,2,10.41
30.41,47.0,44.19,13.3,17.99,0,10.69
20.65,53.84,47.62,27.75,22.4,0,10.0
28.38,88.58,69.75,39.71,15.5,1,10.0
29.77,56.57,46.16,22.28,8.31,0,10.0
25.16,64.1,27.64,43.66,9.27,1,10.0
30.63,49.8,64.24,23.09,16.68,0,10.0
20.55,70.54,43.22,10.71,24.48,1,10.0
20.67,54.03,6.34,20.58,19.78,0,14.95
34.81,50.35,45.27,43.07,9.21,1,10.0
26.48,65.83,72.64,17.79,11.22,1,10.0
22.29,40.28,31.71,39.72,21.11,1,10.0
29.4,40.38,23.71,40.25,22.3,2,10.0
33.86,50.95,11.48,19.01,18.5,2,23.39
23.88,41.84,12.12,8.33,18.96,1,27.5
31.21,45.4,34.62,33.98,8.48,0,10.0
21.54,56.94,47.65,17.46,22.09,2,13.57
20.93,80.13,6.45,36.32,21.4,2,11.27
29.56,68.6,75.17,22.71,12.4,2,10.0
29.73,65.63,60.41,24.41,20.05,0,10.0
31.47,54.67,46.93,36.12,11.65,2,10.0
33.07,86.59,66.28,20.29,8.69,0,10.0
37.57,59.85,6.41,22.73,11.42,1,15.8
29.29,44.35,38.15,20.05,11.04,2,10.0
25.81,70.85,50.41,19.69,13.74,0,10.0
34.31,45.69,66.29,26.04,15.11,2,10.0
24.87,57.26,62.68,37.35,16.65,1,10.0
27.9,65.37,22.17,19.47,16.1,2,18.58
21.41,83.71,75.27,25.97,12.6,0,10.0
20.46,64.68,9.95,31.83,8.5,2,10.0
37.33,75.11,70.01,15.78,18.29,0,10.0
35.05,89.64,77.68,16.1,14.73,1,10.0
32.53,46.57,14.17,42.34,13.08,1,10.0
27.36,53.74,57.77,33.94,22.74,1,10.0
23.12,59.73,3.22,28.09,20.69,0,10.0
22.82,61.09,32.43,30.91,22.58,1,10.0
24.5,60.55,41.3,6.17,16.41,0,10.0
29.89,85.38,46.45,29.72,10.23,1,10.0
32.86,75.7,74.87,25.38,19.84,0,10.0
31.88,70.4,53.78,26.83,11.5,2,10.0
25.04,55.47,38.5,19.38,15.5,0,11.53
37.19,81.19,64.77,8.26,9.11,0,10.0
33.28,87.75,76.04,12.73,22.03,0,10.0
29.98,81.06,1.77,43.03,10.14,1,10.7
31.01,40.08,78.6,21.35,23.35,0,10.0
27.55,71.82,6.89,23.67,22.69,1,20.01
24.46,42.56,65.15,7.11,15.9,2,12.78
26.41,52.88,22.43,6.5,20.65,1,16.6
33.64,42.98,10.57,33.69,18.53,1,18.36
20.26,70.19,35.19,26.52,21.65,0,10.0
22.09,74.33,51.52,25.35,15.34,1,10.0
20.83,45.72,30.48,14.72,21.36,0,11.32
20.73,59.19,4.37,34.79,15.86,1,17.57
35.4,62.81,47.96,11.73,24.0,0,10.0
32.67,58.45,72.19,12.6,16.27,1,10.0
28.54,46.05,30.66,23.43,15.86,1,13.99
21.76,60.95,17.31,16.45,21.35,2,23.45
28.85,77.56,35.41,14.9,21.97,0,13.78
28.52,43.55,3.87,30.81,17.43,1,11.53
23.12,44.01,65.64,31.04,11.06,0,10.0
27.81,57.74,66.11,37.98,15.95,1,10.0
27.17,87.09,47.04,21.71,24.46,2,16.69
31.09,73.43,28.25,7.92,20.8,1,24.26
31.43,73.93,63.98,15.95,21.79,1,10.0
20.82,58.1,44.37,44.2,8.56,2,10.0
26.74,69.68,66.07,28.85,15.95,1,10.0
31.27,40.51,50.52,33.39,18.99,1,10.0
29.06,71.8,62.75,5.29,22.11,1,24.69
35.42,85.66,47.89,25.73,8.84,1,10.0
31.86,70.63,33.13,6.5,22.49,0,22.78
22.93,83.68,76.64,27.77,17.32,2,10.0
21.27,76.2,43.29,41.83,11.35,1,10.0
31.56,46.03,48.41,43.74,13.39,0,10.0
20.48,85.12,17.64,26.62,12.79,1,10.0
30.54,43.32,50.05,23.33,17.02,1,10.0
36.92,66.7,45.73,42.8,8.88,0,10.0
30.36,47.11,14.79,31.94,10.7,1,10.0
26.99,40.59,4.77,7.6,21.82,2,34.52
31.58,61.1,48.35,23.63,10.25,2,10.12
28.25,54.75,61.1,14.61,11.97,2,10.0
29.82,64.3,41.87,23.79,15.71,2,11.71
36.95,68.86,18.14,23.22,16.79,0,15.06
26.95,42.19,53.32,28.29,20.98,1,10.0
37.3,46.15,6.41,19.27,15.6,2,21.96
36.3,67.93,35.35,11.57,21.43,1,27.57
23.52,57.16,13.07,25.15,18.51,1,15.64
21.25,76.46,14.76,38.21,9.92,1,10.0
21.81,72.61,16.18,31.56,10.66,1,10.0
20.33,82.28,30.94,18.53,15.43,2,10.0
21.7,74.62,4.09,42.42,14.75,1,10.0
32.29,61.5,31.82,41.49,20.64,1,10.0
21.28,73.65,40.94,13.37,17.87,2,10.0
25.74,53.77,38.66,6.58,14.6,1,10.0
35.21,55.32,30.62,34.65,10.9,0,10.0
20.42,79.45,67.13,38.1,11.86,1,10.0
34.66,62.32,11.63,43.71,17.78,2,11.55
25.07,79.92,40.46,40.59,15.2,1,10.0
22.13,81.12,4.96,29.02,16.75,1,10.53
32.54,82.88,5.69,26.2,10.9,1,12.28
31.32,85.83,45.91,6.11,19.27,0,23.16
35.79,61.55,45.28,14.87,22.49,2,28.61
33.23,55.94,70.24,23.38,12.38,2,10.0
34.46,69.11,44.63,30.14,16.36,0,10.0
25.08,58.56,76.78,27.29,24.58,0,10.0
23.19,70.05,3.9,34.71,13.67,2,10.0
33.51,75.28,7.84,16.19,18.12,2,22.9
34.52,74.42,3.53,27.6,9.53,2,24.07
37.83,58.73,14.82,8.53,18.3,2,29.38
27.43,48.34,43.3,21.55,9.52,1,10.0
26.7,61.53,51.65,35.01,24.31,1,10.0
33.98,47.13,3.65,32.74,20.17,1,19.59
26.13,84.5,75.68,44.63,21.4,0,10.0
36.75,57.29,67.37,16.12,19.97,1,10.84
35.45,47.72,23.73,24.93,18.03,1,12.66
27.72,41.27,6.18,18.18,15.65,1,22.15
33.52,72.29,13.59,22.62,22.59,1,20.51
33.58,71.85,10.16,39.28,24.27,1,18.77
21.86,57.03,9.86,32.37,16.48,0,10.0
36.25,43.59,41.48,40.3,23.84,0,10.0
29.09,60.48,19.67,13.14,17.92,0,12.53
34.88,55.56,28.65,39.93,17.15,0,10.0
25.76,73.86,79.16,7.39,15.73,2,10.0
36.12,70.29,54.75,40.54,11.56,0,10.0
27.01,58.23,75.92,18.16,8.06,0,10.0
20.2,50.89,11.4,17.58,12.11,1,20.71
36.3,89.4,30.57,25.48,16.67,1,16.82
21.64,62.7,44.38,42.63,14.46,0,10.0
25.75,74.41,6.14,6.91,15.62,1,24.85
37.1,47.03,0.33,19.09,24.67,1,27.38
37.11,64.28,53.63,39.26,13.95,0,10.0
30.32,41.38,51.35,20.84,15.69,0,10.0
31.37,65.27,32.86,12.97,10.27,2,14.93
28.07,88.2,39.17,21.99,8.82,2,10.0
25.28,59.21,33.24,20.42,21.18,1,15.11
25.92,41.95,1.92,41.62,17.7,0,10.0
32.11,41.55,26.83,35.48,20.93,1,12.72
33.54,59.4,14.17,25.2,10.55,1,10.0
34.25,48.0,7.87,44.53,17.72,0,10.0
34.21,41.17,76.54,23.61,12.31,1,10.0
21.64,77.81,47.95,7.33,11.88,1,10.0
28.9,62.93,58.29,15.49,8.2,1,10.0
21.04,54.46,25.23,22.44,10.22,1,12.63
29.89,85.0,31.45,11.28,13.26,2,10.0
27.95,45.81,18.95,42.9,9.99,1,10.0
35.98,87.8,7.76,35.67,24.76,2,37.15
26.32,55.7,14.32,15.73,13.25,0,11.42
22.11,84.42,63.8,28.63,10.22,2,10.0
22.57,70.15,54.2,33.86,11.38,0,10.0
33.71,81.34,43.75,42.65,17.99,0,10.0
31.13,89.2,38.01,40.27,9.09,1,10.0
21.82,54.42,73.79,25.61,22.66,1,10.0
21.51,88.06,5.82,35.99,24.35,2,19.48
32.62,59.47,22.45,27.49,12.19,1,10.0
21.31,59.28,28.0,27.11,15.65,0,10.0
34.79,57.02,62.59,9.59,8.38,1,10.0
32.71,67.07,79.4,10.05,18.89,1,11.64
21.46,47.71,19.25,26.18,15.04,1,12.41
21.53,67.69,69.94,15.75,12.59,1,10.0
37.76,67.09,66.45,5.84,11.52,1,10.0
26.74,78.1,17.97,33.91,19.12,2,14.64
26.67,81.68,31.95,6.3,15.08,2,14.31
34.63,62.02,32.77,28.81,11.05,0,10.0
37.05,55.12,78.26,26.57,19.71,1,10.0
37.75,52.97,14.47,43.75,17.61,1,20.94
33.56,49.73,63.93,24.37,22.6,1,12.66
26.77,42.88,26.74,7.54,10.0,1,16.11
21.5,57.12,58.47,27.07,21.36,2,10.0
33.99,53.51,33.6,38.64,19.45,1,10.0
30.05,88.32,46.27,44.87,9.96,2,10.0
27.64,67.89,66.61,22.21,19.81,2,11.47
36.31,57.36,64.33,17.81,15.51,2,10.0
22.0,69.02,69.31,41.27,24.06,2,10.0
28.87,46.96,4.77,12.65,10.41,1,29.04
20.2,62.2,55.36,29.62,18.93,0,10.0
28.44,71.31,11.2,21.23,14.49,1,22.44
21.01,64.44,33.27,6.64,24.27,0,16.11
22.14,60.09,43.89,18.89,13.61,1,10.0
22.12,89.69,32.22,15.61,24.36,1,12.95
31.69,84.02,41.57,32.44,23.33,1,15.05
33.43,71.17,79.72,42.95,12.6,2,10.0
30.5,68.47,10.82,15.72,21.66,2,30.88
37.32,71.03,54.04,37.46,24.93,0,10.87
26.75,50.07,31.68,7.21,12.3,1,10.0
25.14,59.76,10.64,26.52,15.43,1,11.58
35.63,41.97,12.7,7.82,16.84,1,26.51
24.02,63.78,75.94,42.36,13.01,1,10.0
37.34,67.15,70.37,35.65,8.26,1,10.0
20.22,51.39,72.56,31.32,11.74,1,10.0
37.46,88.2,79.32,37.96,12.79,2,10.0
20.78,85.47,16.67,30.9,15.54,2,10.18
36.04,76.11,28.44,43.76,10.91,0,10.0
29.5,66.67,53.54,33.56,22.85,1,10.0
37.87,83.5,38.7,41.99,19.98,1,10.0
21.33,46.53,33.47,25.69,9.45,0,10.0
29.97,79.53,28.62,9.68,19.05,0,18.05
37.45,46.24,47.5,26.13,19.11,1,10.0
29.42,79.71,46.05,10.07,24.26,1,14.07
31.33,53.79,12.92,28.7,8.05,0,10.0
32.52,83.85,37.74,24.3,12.21,1,10.0
28.18,87.2,44.28,29.9,23.77,1,10.14
31.3,47.44,45.62,5.4,23.85,0,16.74
30.52,63.13,16.81,12.79,20.25,0,20.32
36.22,89.05,59.38,24.65,21.02,2,18.3
20.82,64.17,2.02,43.02,9.56,0,10.0
25.06,83.18,28.39,20.34,16.74,2,10.0
37.11,69.44,62.42,21.97,11.94,1,10.0
36.02,58.77,45.11,33.59,11.08,1,10.24
28.2,54.29,20.89,29.15,21.78,0,21.2
31.16,50.16,55.6,16.96,10.3,0,10.0
24.99,78.09,45.39,21.43,15.97,0,10.0
23.39,59.33,63.7,13.71,23.96,0,10.0
28.35,65.56,58.8,43.64,11.16,1,10.0
26.36,64.62,48.81,10.23,24.63,0,10.0
30.51,68.86,39.05,19.87,24.9,1,16.61
21.4,83.28,10.65,6.03,17.45,1,27.01
37.54,89.04,20.91,13.87,10.89,0,17.58
37.75,60.38,33.53,36.22,13.37,0,10.0
32.57,81.38,47.94,13.05,15.22,0,10.0
29.65,78.23,41.1,8.2,13.26,0,10.0
25.57,68.68,23.05,23.98,12.77,1,10.0
34.65,87.8,0.52,5.4,24.53,1,40.26
32.33,50.02,39.7,8.39,10.61,1,12.57
22.93,45.46,22.85,37.31,20.47,1,10.0
36.4,82.7,58.77,35.86,8.01,1,10.0
34.81,61.96,1.92,41.61,18.14,1,18.57
37.1,82.35,46.79,39.18,23.57,1,10.0
33.06,84.65,75.32,32.33,12.89,0,10.0
31.04,43.12,13.95,7.09,11.15,0,18.75
27.53,84.17,37.73,36.31,19.08,1,10.0
36.79,62.42,7.31,38.82,20.11,1,26.61
35.59,65.52,50.05,36.96,19.7,1,10.0
20.81,71.33,44.04,25.34,13.43,1,10.0
20.47,86.32,32.59,14.32,12.29,1,10.0
26.78,40.96,41.71,38.81,24.25,1,10.0
34.59,63.84,71.73,34.09,23.7,1,10.0
37.77,74.39,15.7,44.23,15.77,1,10.0
22.71,76.14,1.81,11.23,22.39,1,29.53
30.69,74.63,68.93,14.03,15.69,1,10.0
26.86,46.72,46.17,13.47,15.21,1,10.8
37.46,54.97,71.25,36.7,10.66,2,10.0
35.16,57.94,47.76,12.48,15.25,1,10.0
35.09,80.22,64.81,7.67,17.14,1,18.8
28.44,53.94,34.37,44.94,8.38,1,10.0
27.47,50.54,59.99,5.99,15.55,1,10.0
24.92,87.87,73.04,38.41,21.28,0,10.0
21.01,40.44,45.77,19.61,19.56,2,10.0
35.57,89.89,14.46,38.66,18.8,0,10.0
34.63,73.84,21.5,27.18,23.46,1,23.46
37.99,81.42,15.89,41.07,8.31,1,10.0
37.94,54.73,19.75,42.05,17.47,2,10.52
30.0,40.72,24.51,5.36,21.38,0,18.07
33.84,76.89,44.41,8.02,17.2,1,13.96
