temperature_c,voltage_v,current_a,coolant_flow_lpm,target_temperature_c
51.3344,3.6706,4.9782,1.1303,57.7502
40.077,3.5229,2.4542,6.211,39.5561
37.146,3.8284,2.2304,3.0964,41.5239
33.568,3.2077,4.5603,5.5545,38.3794
48.3627,3.4919,3.3109,4.6836,48.8263
36.2816,3.9382,1.9539,1.894,42.2289
23.9442,3.8655,6.194,1.8001,37.6629
25.3103,4.2309,6.51,5.4283,32.4577
63.2854,3.8514,1.5907,2.3089,60.9992
60.8861,3.7014,0.4533,6.0057,52.6804
51.4868,3.9995,2.7865,1.5983,54.3227
31.9641,4.1485,6.0623,4.6629,37.8781
63.6129,3.9567,6.3581,5.4425,60.2026
55.0438,4.2114,1.3821,2.141,54.2375
52.2601,4.0211,5.8978,2.3744,56.314
40.2213,4.1101,1.2215,6.2978,37.2177
32.2509,3.3198,3.1694,2.3082,41.2382
24.3376,3.969,7.4901,3.2508,36.5015
60.6171,3.6621,1.7674,3.2653,58.0691
40.5099,3.7808,1.4931,2.2423,44.7318
29.1064,3.8868,3.4019,5.222,33.3292
33.768,4.2183,4.7996,5.1995,37.1706
46.0649,4.2338,7.0236,2.9564,51.6258
27.9548,3.5026,7.3638,5.5602,36.2771
58.5476,3.9704,0.8944,2.0145,57.1137
54.1334,3.9875,1.3798,0.8245,56.1536
52.3758,3.5638,6.0142,4.0557,54.7758
39.4442,3.3301,2.3215,6.4662,38.9361
48.2289,3.243,6.6824,1.0203,58.1165
46.2844,4.0162,5.1105,1.9856,51.9487
49.2431,3.7142,1.1941,3.7578,48.4833
23.8,4.2348,6.311,5.4167,30.9769
38.7113,3.6882,1.6521,1.3075,45.1204
21.8726,4.2268,3.4068,3.0528,30.6977
42.2296,3.6322,4.3205,5.0583,44.3823
34.8438,4.0334,3.9554,2.9178,41.2765
26.5036,3.2891,5.2718,1.8764,39.6368
24.6531,3.7832,5.0341,1.9143,37.0476
46.444,4.0422,7.4435,3.1373,52.4482
27.6767,4.1709,7.4959,3.5327,38.0473
61.6304,4.0637,4.0669,5.7123,56.0865
46.1478,3.2388,1.0759,4.4608,46.0345
35.6091,3.5913,5.5677,4.7353,41.2617
46.5912,3.2511,7.3343,6.403,48.9266
21.0262,3.3147,2.6601,3.1475,31.3601
63.1352,3.9091,3.6746,3.0991,61.3962
41.7037,3.9489,3.4159,6.0631,40.863
55.2231,4.0124,0.7651,2.2015,54.305
23.7228,4.1087,5.1731,4.9599,30.9087
41.8996,3.9764,2.9087,5.1011,42.0785
42.0818,4.0409,5.991,1.3574,50.8386
62.2022,3.2514,6.3081,3.4689,63.8351
45.7278,3.4463,6.2307,1.9432,53.8361
41.307,3.853,3.3583,1.8566,47.5798
32.0139,4.101,2.683,3.4438,37.0928
34.9206,3.2047,5.7166,2.4497,45.3206
43.4303,3.7404,6.0899,5.3375,46.0647
39.751,3.9112,3.8879,5.9733,40.1597
20.9725,3.2311,6.7405,5.3755,31.5751
57.1831,3.6214,1.4218,2.3164,56.8771
60.3272,4.1404,6.6414,2.3626,62.7759
26.3112,3.9052,1.0823,2.252,33.7798
44.9316,3.4495,1.49,1.5697,49.6674
24.8859,4.0954,4.1903,6.1797,28.9486
50.2508,3.5654,0.8794,3.0917,50.3526
32.6555,4.096,0.7749,2.0807,38.0487
49.674,3.5139,0.4037,5.626,45.6093
52.7148,3.8198,3.4978,3.0754,53.9343
54.5891,3.6168,5.8998,1.0002,61.236
24.8483,3.4886,0.6474,1.7231,34.1609
61.2205,4.1309,5.031,4.4437,58.5538
30.3596,3.397,6.2442,5.2626,37.7339
21.6836,3.2891,1.5928,2.0023,32.7633
44.9684,3.559,1.4427,6.0292,42.401
36.6915,3.9535,6.5117,5.6507,40.724
57.3405,4.0478,6.2442,5.6358,55.1261
56.3713,4.2487,4.2265,2.0977,57.7631
34.2713,3.5112,6.2163,1.0881,46.9499
62.8805,3.6283,1.0586,5.7443,55.1912
33.0913,3.3437,3.2008,2.5431,41.437
43.1776,3.8036,5.6384,4.3278,47.1864
31.5184,4.2475,2.2279,5.1318,33.2412
62.122,3.9359,5.7415,1.5313,64.9599
27.4074,3.825,3.9797,5.2508,32.7243
22.021,3.612,5.7269,6.1495,29.3715
39.5794,4.1611,3.6992,4.9517,41.0764
64.6569,3.7218,3.0121,3.315,61.8818
60.1255,3.3411,1.9562,5.7971,54.5912
53.6874,3.5836,1.8795,3.8065,52.4481
60.0857,3.2705,5.7356,5.0452,59.2681
60.2051,3.4121,1.2443,5.4769,54.3578
43.3486,3.2186,1.0105,5.0713,43.1332
34.2168,3.6759,1.6517,2.4408,40.2958
54.7406,3.8663,1.645,1.4717,56.2739
49.7748,3.5605,6.2441,2.1585,56.3032
36.8146,3.6414,3.2294,3.6664,41.6491
24.251,4.2072,7.4318,3.6801,35.3617
53.6055,3.9896,1.3742,4.1211,50.6336
31.8107,3.7679,5.0401,3.0521,40.3496
62.1566,3.4988,3.586,5.2853,57.9108
30.8437,4.1418,3.1897,6.005,32.4228
25.5241,3.4469,6.6131,2.2063,39.4309
57.4001,3.5416,7.3267,4.9982,58.2443
26.8978,4.1545,6.5973,4.6644,34.8511
28.0671,3.756,1.7653,3.7816,33.6182
46.9722,3.9794,1.9677,1.8746,50.0353
59.3553,3.8203,5.0581,5.3328,56.4232
28.8396,3.8861,2.4525,6.2756,30.4353
33.9646,3.5144,5.6165,4.9145,40.0726
54.9832,3.4534,4.4216,6.0318,52.507
63.7322,3.5386,4.3115,6.4099,57.8934
42.5334,3.3632,6.2827,2.8067,50.4639
26.4754,4.118,5.4448,4.4379,33.9965
20.6271,3.4974,0.5887,3.5014,28.1653
30.3345,3.7896,0.7512,6.4238,30.0001
25.932,4.0316,4.6711,1.3347,37.9345
50.4946,4.023,3.852,3.1505,52.1755
25.4825,3.6603,2.2473,5.7906,29.243
42.7848,3.7001,3.3725,2.4191,48.018
51.2418,4.2444,5.7812,5.2904,50.5345
46.1502,3.9083,6.2689,2.9819,51.8659
28.9899,4.0554,4.3847,6.3859,31.683
56.1856,4.1477,3.1361,5.8361,50.8944
52.1933,4.027,2.3219,2.5175,52.8723
53.2543,3.3944,4.1056,5.1901,52.3381
25.8976,3.7903,2.6347,2.7201,34.3806
25.5689,3.307,4.4051,4.2563,34.4048
61.7403,3.8856,5.2042,4.5533,59.3459
37.891,4.2031,0.8692,5.5287,36.1378
33.5427,3.7384,0.4076,0.9394,40.9343
41.9863,3.6546,1.9072,2.0549,46.797
49.8289,3.2376,6.751,4.8579,53.2379
63.003,4.2078,4.9887,4.0121,60.3638
32.8901,3.3082,1.6209,3.6249,38.172
61.6164,3.2431,6.7209,1.1147,67.8039
21.1187,3.4584,3.7367,2.7852,32.6625
44.9839,3.2688,3.7803,5.7311,45.4206
48.5289,3.6779,7.0423,0.9761,57.6857
24.7654,3.7419,0.8224,3.0597,31.4443
26.3153,3.5282,1.9278,6.1873,29.1616
38.8601,3.2535,4.559,1.09,49.3109
63.4804,3.3172,1.788,5.0733,58.0025
46.8219,3.6037,5.2246,2.2684,53.1572
61.986,3.2636,1.9201,5.7397,56.1786
56.1962,3.9331,1.104,5.0526,50.916
41.0322,3.4174,1.8696,5.8485,40.4155
55.3144,3.5172,3.4014,2.0308,57.9607
20.8027,3.6138,1.6506,3.8284,28.5306
24.9115,3.6374,1.3563,5.2418,28.9215
57.3243,3.2017,6.508,2.2005,62.5576
55.8568,3.3177,2.6748,2.1153,58.0665
30.4688,4.1059,2.9614,0.9549,40.183
43.8846,3.2013,0.7924,6.2635,41.3684
47.2707,3.7336,2.9373,4.8471,46.7842
59.0483,3.714,2.2801,4.4227,55.4166
47.1398,3.5497,4.7344,5.0408,48.4528
38.5657,3.6529,1.8583,3.8302,41.4224
36.8383,4.0196,6.7074,3.514,44.2831
39.1647,4.0833,7.0006,3.3623,46.3627
49.3369,3.4734,1.1088,4.4505,47.8747
59.0371,3.5386,1.1626,1.9487,58.7536
40.4254,3.4546,1.2188,5.8619,39.399
31.1528,3.7039,4.7989,5.427,36.1063
30.6498,3.9174,1.266,2.7925,36.2262
53.5706,3.4397,6.4519,4.0981,56.4566
56.7456,3.5473,5.7553,1.6039,61.8848
24.7375,4.1769,6.2206,6.3424,30.3159
22.9951,3.251,4.135,5.9465,29.8937
46.7495,3.6838,7.4764,6.0548,48.667
26.5778,3.9471,0.7136,2.6933,32.9264
57.1099,3.358,3.249,1.7641,59.974
33.9651,3.2497,2.7,2.0071,42.6562
26.4742,3.3451,7.1354,1.313,42.1113
61.4437,4.1648,4.4957,1.4846,62.7688
27.4489,3.2097,6.124,1.2064,42.4305
32.8124,3.3977,1.6094,6.442,33.3697
26.9126,3.2328,7.3483,1.2221,43.0698
25.1971,3.3162,3.9403,1.5555,37.9803
20.9517,3.8512,3.9051,5.5154,27.3547
22.4928,3.4537,7.2933,4.1074,34.7475
27.8589,3.7977,3.1032,5.2142,32.3058
22.4022,3.8197,3.2224,4.3962,29.7788
46.6015,4.0919,4.5517,5.8284,45.6369
50.6322,3.205,1.3092,4.4393,49.6418
37.7134,4.096,2.6797,3.7761,40.6911
34.3096,3.8501,1.7718,4.8627,36.1009
42.7037,3.3709,1.1333,3.3501,45.0275
59.3752,4.0116,6.5496,2.7726,61.6499
58.3009,4.0983,4.5843,3.4656,57.6074
21.9564,3.467,2.9466,1.7674,34.0619
28.1674,4.1647,3.3016,5.3405,31.6817
30.6535,3.6772,3.4638,2.286,39.5733
31.2224,3.8336,4.8954,1.6751,41.8397
45.7055,4.2339,6.9801,2.2042,52.4643
38.7318,3.5796,7.0227,5.5998,43.6109
22.2164,4.0538,3.1796,2.6821,31.7232
36.8126,3.5343,2.7378,4.7105,39.6853
43.5689,4.0392,3.6024,5.6815,42.8506
24.5752,3.8308,4.4323,1.2431,37.4459
57.5056,3.4272,3.6789,5.1606,55.0086
22.3383,3.6347,5.0771,2.5537,34.5841
61.6179,3.5335,4.3362,2.0347,63.3186
24.4601,3.282,2.6771,4.7267,31.3731
57.9609,3.2313,2.8547,5.9858,53.848
60.6194,3.5638,3.088,2.4816,60.6713
64.0807,3.22,1.0719,4.0424,59.6843
56.0912,3.3738,1.579,2.4521,56.6552
55.0765,3.9614,5.5341,3.9594,55.535
48.9117,3.9435,3.1626,4.3446,48.6584
55.0548,3.9755,1.9232,4.2789,51.8234
26.0548,3.533,4.395,4.3542,34.1422
44.1231,4.1345,5.7643,1.57,51.5084
43.14,3.8235,2.2277,4.7532,43.2757
58.5907,3.3323,6.2702,4.6461,59.2478
40.826,3.3509,6.9853,4.6908,46.7541
37.329,3.9278,4.6415,1.2222,46.5349
48.7803,3.3816,5.1495,3.347,53.1128
31.9908,3.7327,0.7733,3.1315,36.6315
26.2896,4.2414,7.1132,1.2943,40.1068
41.5045,3.2042,3.1866,2.0675,48.5971
38.76,3.2174,6.9597,3.3135,47.9797
30.4656,4.2427,4.5107,5.0346,34.7285
36.538,3.8139,0.4328,2.1513,40.8567
36.4877,3.3333,0.6736,5.5296,36.8005
34.7373,4.1422,5.231,3.9111,40.5216
37.0759,4.1244,4.3949,5.1344,39.4141
50.8585,3.763,0.5884,3.4936,49.4698
33.3594,3.8529,5.6786,3.6454,41.0332
62.6986,3.4868,6.4502,4.3324,62.4955
61.2357,3.253,3.9246,6.0894,56.6169
41.641,3.8243,3.7069,3.6033,45.1767
34.7763,3.5095,0.4389,3.8133,37.9025
44.0946,3.8968,5.9852,4.2314,47.8879
58.1852,4.0781,2.7481,5.0038,53.37
49.3664,3.2191,6.6392,1.2095,58.7407
56.1976,3.8255,3.0487,3.7394,54.9481
43.9725,3.4428,4.4121,3.5451,48.6131
48.4813,4.1176,2.3194,6.0536,44.4117
32.967,3.4663,1.5402,3.613,37.8923
53.0702,3.8413,5.9018,3.4694,55.6893
29.1082,3.7812,3.9258,6.2845,32.313
51.2659,3.616,4.2091,3.3683,53.6774
58.7324,3.9115,7.2545,1.831,63.499
25.9446,3.9621,7.2414,2.0364,39.2362
47.6471,3.7953,6.4751,1.3426,55.8115
24.2793,3.9963,1.732,0.8032,35.1941
52.6572,4.2326,4.6193,3.2621,53.7758
23.8022,3.6402,6.6348,5.1847,32.9108
62.1173,3.7403,3.0587,4.9808,57.5126
26.1834,3.2131,1.1179,0.9832,37.4303
63.1496,4.0358,6.1578,4.0489,61.9985
56.0398,3.7462,3.8205,1.6794,58.9383
46.7157,3.6284,4.4072,6.1641,45.8562
55.2181,3.2988,7.3732,1.754,62.4448
55.7802,4.1341,4.7112,4.3718,54.4125
62.5712,3.6148,3.4174,2.6596,61.9879
31.4023,3.9167,3.0269,4.4569,35.505
46.5534,3.3568,3.3651,3.1499,50.2274
24.2772,4.2096,1.2406,5.13,27.2966
47.7275,3.3874,6.0427,2.1149,55.0668
27.7081,3.4095,6.3478,5.963,34.9159
45.4228,4.1019,2.4192,3.6512,46.1566
45.7594,4.1582,2.557,5.1097,44.1677
40.9693,3.4228,6.6078,5.6435,45.0462
43.5184,3.6933,0.5702,6.4933,39.538
54.3766,3.9702,4.0952,2.0765,56.9424
55.966,4.1223,3.6921,2.4353,56.9024
42.1469,3.598,5.2999,2.2275,49.7806
46.9817,3.7429,1.5601,2.2984,49.4989
61.9056,3.9788,5.1451,4.1199,60.0267
25.388,3.9677,3.0748,6.4631,28.0938
25.2697,4.0221,4.7929,6.4446,29.5202
23.9469,3.7984,0.6847,3.8026,29.736
49.6038,3.3098,3.6783,4.4425,50.754
38.8374,4.1492,4.108,5.7018,39.5825
54.8445,4.1089,1.9217,6.1177,48.6304
50.2054,4.038,1.3913,1.962,51.6085
35.0137,3.3049,1.7382,3.8127,39.5442
60.4265,3.4146,2.8434,5.5472,55.6278
54.3139,3.9808,1.0874,2.5283,53.4631
32.1741,3.2243,7.126,3.3069,43.1566
36.3886,4.2282,3.2755,6.418,35.8345
34.1498,3.596,6.1437,6.4148,38.0959
27.0925,3.9553,7.3184,5.9648,34.0678
26.6503,4.1319,0.9732,5.3512,28.4798
62.1257,3.6144,5.0269,2.334,63.5844
39.7057,3.5351,6.587,2.6288,48.6939
37.2494,3.8392,4.9031,3.9195,42.6522
52.8359,3.81,3.4461,3.9964,52.4676
44.8847,3.6296,3.4606,3.6814,47.703
62.1263,3.8319,0.6549,4.429,56.1652
55.1136,4.1822,4.1957,3.1274,55.46
41.5716,3.691,7.4542,5.0703,46.6316
36.9362,3.4066,7.2068,2.7012,47.4713
64.3984,3.5961,0.6868,2.6849,61.0363
52.2992,3.6138,5.4112,1.5252,58.2596
62.8038,3.3377,2.5425,1.8757,63.1387
25.3315,3.371,6.8112,5.648,34.0407
58.274,3.9188,0.7203,3.3438,54.8391
48.6683,3.5565,7.0447,2.0988,56.2615
25.4865,4.2026,6.3461,5.1282,32.7366
46.4716,3.4558,1.2343,3.9577,46.7201
50.8743,3.3039,0.8248,0.9206,54.8905
20.5536,3.9912,6.3264,2.6033,33.7465
40.4443,4.1251,1.5059,1.8089,44.6979
57.143,3.492,4.1978,4.5385,56.1667
33.2912,3.4122,6.9018,2.3677,45.0232
40.6347,3.3951,4.4289,1.1702,50.0573
39.9041,3.7481,3.2204,1.1131,47.6476
33.5867,3.6918,3.5596,4.1158,38.6438
61.3299,3.4724,0.8481,0.9238,61.9554
55.1582,3.2474,7.2781,5.6381,56.2648
24.9765,3.7056,2.6056,1.6858,35.7154
64.8666,4.2073,1.7445,4.2574,58.4717
59.564,3.8851,2.4309,3.3347,57.4566
32.7759,3.7203,7.247,3.3243,42.6777
57.6603,3.3162,1.0694,1.2092,59.3593
24.7889,3.4651,6.5579,5.3757,33.7043
64.9597,3.5095,5.4257,5.8904,60.8511
49.9558,4.003,6.2931,0.8628,57.7032
49.2556,4.1205,7.3289,1.818,56.3155
24.0698,4.1467,6.3793,5.9523,30.5342
60.3665,4.2338,7.098,3.9321,60.3157
21.305,4.2315,1.3012,1.6552,30.7562
30.8373,4.2006,6.0501,1.9559,41.329
26.436,3.2754,4.2743,4.5619,34.4967
54.9546,3.3447,4.2588,4.9315,54.2824
28.9192,3.5197,6.7823,4.2167,38.7033
60.9787,3.7805,7.2998,6.2329,58.2962
49.5321,3.3018,5.4044,3.6162,53.422
21.6273,4.0881,3.8289,2.5115,32.1857
20.2443,3.8476,3.6405,3.5202,29.8394
22.3246,3.7695,3.143,2.8501,32.1928
47.2666,3.3736,2.9674,2.0792,52.0871
56.0667,3.4659,3.1797,1.062,60.0236
30.7349,3.3683,1.0372,2.8076,37.3634
58.2234,4.0945,0.9498,4.855,52.017
22.5754,3.8134,5.9371,0.9051,37.8586
56.0434,3.9719,3.5671,3.3033,55.7329
61.7508,3.5108,7.0079,4.4709,61.9813
54.7449,3.5898,4.7468,4.2793,54.9552
51.4154,3.6251,0.6497,5.2269,47.4591
57.7091,3.998,1.5184,5.42,51.6794
21.8068,4.011,1.8613,4.8567,26.9176
29.0802,3.4172,7.3277,1.3859,43.7806
25.6216,4.1886,1.9528,3.5076,31.5744
42.7039,3.3267,4.0619,4.2394,46.3079
53.5335,4.1409,7.0469,2.1997,58.4214
48.3505,3.3054,7.3381,1.0425,58.5457
58.3009,3.4778,2.0782,2.0745,58.924
26.9846,4.0888,0.7487,3.3929,31.7834
53.0579,3.3885,1.4906,3.1594,53.1589
28.6869,3.6342,0.8496,1.807,36.6211
32.1841,3.6724,1.7854,5.4992,34.0887
51.9457,3.4575,4.4368,6.0764,50.1696
64.1092,3.9458,6.8784,1.9477,66.7706
47.5195,4.0939,4.2143,6.0986,45.405
22.4525,4.1183,4.8445,0.9018,36.1069
47.7339,3.5563,1.8333,6.0723,44.5496
21.9058,3.7574,6.0841,6.226,29.0282
59.7866,3.4608,4.7863,0.8687,64.5135
51.931,3.457,6.5354,5.1492,53.5396
27.7908,3.3693,7.1368,6.3301,34.8419
24.1274,4.187,2.8701,5.9636,27.2987
28.259,4.1324,1.0431,6.333,28.1291
64.1012,4.0162,2.0041,3.9368,59.088
40.6352,3.7435,3.5087,1.2455,48.1904
55.2836,3.7151,7.1144,5.6438,55.0285
48.6384,3.7562,3.086,4.2988,48.884
45.7586,3.7634,5.8725,4.304,49.3141
26.5309,3.6563,4.2374,3.1783,35.8671
62.5711,3.3383,1.6979,4.0595,58.8292
33.5604,3.3319,2.6772,1.6754,42.7514
46.0108,4.1999,5.0377,5.0167,46.3491
51.4899,3.7061,5.1773,1.2276,57.6057
49.2155,4.2009,3.4868,4.9598,47.5133
62.3267,3.3718,2.0234,5.6392,56.5197
26.6798,3.7821,5.5255,3.4931,36.3779
42.8759,3.4181,1.599,3.706,45.0083
38.1815,3.4658,7.0504,2.5796,48.3145
41.3376,3.2316,1.7341,6.3259,40.4014
25.3648,3.3249,1.1619,4.9788,30.1213
26.0343,4.1627,3.9333,2.9032,34.6202
32.5134,3.5376,4.0888,1.7964,42.7183
33.7117,3.8385,4.0082,2.0516,42.1707
39.2556,3.6883,3.5003,3.4444,44.0114
47.4944,3.6205,7.4632,6.1726,49.1301
48.5583,3.7585,3.8526,4.9846,48.3334
38.5315,3.3966,3.7934,2.0269,46.5618
38.3952,4.238,3.3945,5.6995,38.3201
29.7933,4.0592,0.8745,2.9557,34.6401
46.4738,3.9787,4.61,5.6548,45.9714
34.2668,3.6922,2.0186,2.1777,41.1013
21.6227,3.3605,4.927,4.3264,31.817
38.828,4.1667,0.7609,6.082,35.8886
41.336,3.5585,7.3678,2.27,51.1181
30.1517,3.2526,3.7299,4.7497,36.3732
45.7606,3.5595,6.767,6.4277,47.1218
45.4597,4.0342,3.7765,1.6584,50.8067
51.5901,3.8538,0.8283,1.3039,53.674
49.1577,3.9884,6.2377,4.6429,50.9143
49.3595,4.0333,5.0021,2.7365,52.8924
34.2296,3.4226,5.9505,1.2061,46.7429
55.4344,4.17,3.44,3.5092,54.4256
44.7115,3.6599,4.9294,5.0965,46.5197
39.4138,3.871,6.4792,2.4252,47.9206
48.1706,3.2024,4.8806,2.7098,53.8776
36.2296,4.243,2.8685,5.6205,36.4133
43.0733,3.4949,5.104,3.7644,48.0015
